Metric,Random Forest,XGBoost
Accuracy,0.9998550555994472,0.9998775117741807
Precision,0.9999923566878981,0.9999719764500277
Recall,0.9998267802784252,0.9998751799065123
F1-Score,0.999909561628655,0.9999235758356982
